Thickness,Na,TiO2_Th,Bulk_def,Temp,IF_def,Affinity,JsC,Voc,FF,PCE
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+09,4.10E+00,26.70215543,0.638699,76.3631,13.0235
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+10,3.70E+00,26.7108295,0.956785,81.1017,20.7268
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+10,3.90E+00,26.68725151,0.838126,80.2301,17.9453
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+10,4.10E+00,26.70215335,0.638699,76.3631,13.0235
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+11,3.70E+00,26.7108053,0.95627,81.0797,20.71
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+11,3.90E+00,26.68722939,0.838125,80.2298,17.9452
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+11,4.10E+00,26.70213259,0.638699,76.363,13.0234
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+12,3.70E+00,26.71056339,0.951128,80.9244,20.559
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+12,3.90E+00,26.6870082,0.838118,80.2265,17.9442
1.00E+00,1.00E+14,2.00E-02,1.00E+14,3.50E+02,1.00E+12,4.10E+00,26.70192499,0.638698,76.3623,13.0232
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+09,3.70E+00,26.56261905,1.016176,74.1799,20.0229
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+09,3.90E+00,26.54174192,0.903654,76.408,18.3261
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+09,4.10E+00,26.47674925,0.699938,74.0503,13.7231
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+10,3.70E+00,26.56261714,1.016082,74.1859,20.0226
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+10,3.90E+00,26.54174008,0.903654,76.408,18.3261
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+10,4.10E+00,26.47674753,0.699938,74.0503,13.7231
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+11,3.70E+00,26.562598,1.015155,74.2442,20.0201
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+11,3.90E+00,26.54172177,0.903654,76.4076,18.326
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+11,4.10E+00,26.47673035,0.699938,74.0502,13.723
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+12,3.70E+00,26.56240659,1.007264,74.7351,19.9957
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+12,3.90E+00,26.54153865,0.903649,76.4041,18.3249
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.00E+02,1.00E+12,4.10E+00,26.47655849,0.699937,74.0496,13.7228
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+09,3.70E+00,26.55590253,0.965735,74.5992,19.1317
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+09,3.90E+00,26.52444352,0.865683,75.8914,17.426
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+09,4.10E+00,26.4423726,0.666182,72.8948,12.8407
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+10,3.70E+00,26.55590039,0.965684,74.602,19.1314
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+10,3.90E+00,26.52444151,0.865683,75.8914,17.426
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+10,4.10E+00,26.44237072,0.666182,72.8948,12.8407
